Sport,Mean_Char_Length,Mean_Word_Count,Min_Char_Length,Max_Char_Length,Min_Word_Count,Max_Word_Count
Soccer,79.83918918918918,12.513513513513514,61,101,9,18
Volleyball,79.32181818181819,11.956363636363637,61,103,8,17
Baseball,79.04424778761062,12.327433628318584,60,102,8,19
Tennis,79.62058823529412,12.419117647058824,59,104,8,17
Basketball,78.66299212598425,12.24251968503937,60,104,8,18
Badminton,79.48,12.374,60,108,8,16
Swimming,79.38053097345133,12.265486725663717,62,107,8,20
Surfing,79.98771929824561,12.003508771929825,61,112,8,16
Archery,79.69465648854961,12.265648854961832,62,109,9,17
Athletics,80.3287356321839,12.096551724137932,65,100,8,17
Equestrianism,80.28028169014084,12.415492957746478,61,115,9,17
Boxing,80.45128205128205,12.576068376068376,61,103,8,17
Golf,80.065625,12.8765625,56,105,9,19
Skiing,83.78070175438596,12.547368421052632,64,111,8,18
Cycling,81.71129032258065,12.461290322580645,58,108,9,18
