word,frequency
vận_động_viên,3456
trong,2478
cú,1859
đang,1761
thể_hiện,1749
trên,1607
với,1370
bóng,1352
người,1326
sự,1273
và,1198
mạnh_mẽ,1015
sân,983
chuẩn_bị,971
một,945
cho,927
trang_phục,858
của,854
tư_thế,833
cầu_thủ,782
tập_trung,766
thực_hiện,766
tạo,741
đầy,727
khi,677
đánh,664
giữa,635
đấu,626
kỹ_thuật,606
vào,544
xanh,537
ngựa,525
trận,519
qua,519
thể_thao,509
không_khí,471
không_gian,466
các,449
ra,447
ánh,438
quyết_tâm,435
sức_mạnh,435
tay,430
lên,427
nên,425
bắn,423
những,421
chơi,400
cao,399
nhảy,384
trước,370
từ,368
phía,368
động_tác,359
bay,347
cung,334
tự_tin,329
để,328
khoảnh_khắc,325
sôi_động,321
hoàn_hảo,318
nước,318
sẵn_sàng,309
căng_thẳng,305
điêu_luyện,302
nắng,302
quyết_định,302
nổi_bật,293
trắng,281
lướt,276
bơi,276
hai,275
kịch_tính,273
áo,271
cuộc,269
đối_thủ,266
ném,264
cô,264
chính_xác,263
về,262
sóng,261
cao_độ,261
khéo_léo,260
rực_rỡ,259
từng,256
thi_đấu,254
khung_cảnh,249
golf,249
sáng,247
đẹp,246
pha,244
chạy,235
đường,232
hình_ảnh,229
lướt_sóng,229
mặc,226
tuyết,216
cưỡi,216
sân_cỏ,213
cầu,211
màu,210
vượt,210
quyết_liệt,208
kỹ_năng,202
chân,201
nhanh,199
dưới,196
ấn_tượng,196
đua,195
ánh_sáng,189
giữ,187
đỏ,185
môn,183
tuyệt,182
khán_giả,181
tuyệt_vời,181
lao,180
trượt_tuyết,178
vợt,175
hướng,174
mục_tiêu,168
được,164
điều_khiển,162
gậy,158
di_chuyển,156
đứng,155
đấm,155
diễn,154
tinh_thần,150
hồi_hộp,149
này,147
mặt,146
tốc_độ,145
cầu_lông,143
đạp,142
xe,142
tấn_công,137
nền,133
mang,131
sút,130
làm,129
xe_đạp,129
chiếu,127
vung,125
ván,125
võ_sĩ,122
trượt,122
ấy,122
nhắm,120
chuyên_nghiệp,120
hấp_dẫn,120
xuất_sắc,119
biển,118
bóng_rổ,117
thiên_nhiên,116
cùng,116
vững_vàng,115
chuẩn_xác,115
sau,115
cảnh_tượng,115
rổ,114
tới,114
phát_bóng,113
con,113
bầu_không_khí,113
thăng_bằng,112
mình,112
mũi_tên,111
trái,111
tennis,109
bộ,108
nhảy_cao,106
không_trung,106
đen,105
